id,中文名,English,preferred_local_path,candidate_1,candidate_2,candidate_3,candidate_4
haste-helm,急速头盔,Haste Helm,assets/equipment/haste-helm.webp,https://bg3.wiki/wiki/Special:FilePath/Haste_Helm_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Haste_Helm_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Haste_Helm_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Haste_Helm_Icon.webp
warped-intellect,扭曲智力头带,Warped Headband of Intellect,assets/equipment/warped-intellect.webp,https://bg3.wiki/wiki/Special:FilePath/Warped_Headband_of_Intellect_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Warped_Headband_of_Intellect_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Warped_Headband_of_Intellect_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Warped_Headband_of_Intellect_Icon.webp
helmet-smiting,惩击头盔,Helmet of Smiting,assets/equipment/helmet-smiting.webp,https://bg3.wiki/wiki/Special:FilePath/Helmet_of_Smiting_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Helmet_of_Smiting_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Helmet_of_Smiting_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Helmet_of_Smiting_Icon.webp
circlet-blasting,爆裂头环,Circlet of Blasting,assets/equipment/circlet-blasting.webp,https://bg3.wiki/wiki/Special:FilePath/Circlet_of_Blasting_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Circlet_of_Blasting_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Circlet_of_Blasting_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Circlet_of_Blasting_Icon.webp
grymskull-helm,格林骷髅头盔,Grymskull Helm,assets/equipment/grymskull-helm.webp,https://bg3.wiki/wiki/Special:FilePath/Grymskull_Helm_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Grymskull_Helm_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Grymskull_Helm_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Grymskull_Helm_Icon.webp
deathstalker-mantle,死亡追猎者斗篷,The Deathstalker Mantle,assets/equipment/deathstalker-mantle.webp,https://bg3.wiki/wiki/Special:FilePath/The_Deathstalker_Mantle_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Deathstalker_Mantle_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/The_Deathstalker_Mantle_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Deathstalker_Mantle_Icon.webp
graceful-cloth,优雅布衣,The Graceful Cloth,assets/equipment/graceful-cloth.webp,https://bg3.wiki/wiki/Special:FilePath/The_Graceful_Cloth_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Graceful_Cloth_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/The_Graceful_Cloth_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Graceful_Cloth_Icon.webp
luminous-armour,光耀护甲,Luminous Armour,assets/equipment/luminous-armour.webp,https://bg3.wiki/wiki/Special:FilePath/Luminous_Armour_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Luminous_Armour_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Luminous_Armour_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Luminous_Armour_Icon.webp
adamantine-scale,精金鳞甲,Adamantine Scale Mail,assets/equipment/adamantine-scale.webp,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Scale_Mail_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Scale_Mail_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Scale_Mail_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Scale_Mail_Icon.webp
adamantine-splint,精金板条甲,Adamantine Splint Armour,assets/equipment/adamantine-splint.webp,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Splint_Armour_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Splint_Armour_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Splint_Armour_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Splint_Armour_Icon.webp
protecty-sparkswall,保护火花之墙,The Protecty Sparkswall,assets/equipment/protecty-sparkswall.webp,https://bg3.wiki/wiki/Special:FilePath/The_Protecty_Sparkswall_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Protecty_Sparkswall_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/The_Protecty_Sparkswall_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/The_Protecty_Sparkswall_Icon.webp
spidersilk-armour,蛛丝护甲,Spidersilk Armour,assets/equipment/spidersilk-armour.webp,https://bg3.wiki/wiki/Special:FilePath/Spidersilk_Armour_Unfaded_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Spidersilk_Armour_Unfaded_Icon.webp,https://bg3.wiki/wiki/Special:FilePath/Spidersilk_Armour_Item_Icon.png,https://bg3.wiki/wiki/Special:FilePath/Spidersilk_Armour_Icon.webp
