id,中文名,English,preferred_hd_path,wiki_page,tooltip_candidate_1,tooltip_candidate_2,legacy_local_path,controller_icon_fallback
haste-helm,急速头盔,Haste Helm,assets/hd/equipment/haste-helm.webp|png|jpg,https://bg3.wiki/wiki/Haste_Helm,https://bg3.wiki/wiki/Special:FilePath/Haste_Helm_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Haste_Helm_Faded.webp,assets/equipment/haste-helm.webp,https://bg3.wiki/wiki/Special:FilePath/Haste_Helm_Unfaded_Icon.png
warped-intellect,扭曲智力头带,Warped Headband of Intellect,assets/hd/equipment/warped-intellect.webp|png|jpg,https://bg3.wiki/wiki/Warped_Headband_of_Intellect,https://bg3.wiki/wiki/Special:FilePath/Warped_Headband_of_Intellect_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Warped_Headband_of_Intellect_Faded.webp,assets/equipment/warped-intellect.webp,https://bg3.wiki/wiki/Special:FilePath/Warped_Headband_of_Intellect_Unfaded_Icon.png
helmet-smiting,惩击头盔,Helmet of Smiting,assets/hd/equipment/helmet-smiting.webp|png|jpg,https://bg3.wiki/wiki/Helmet_of_Smiting,https://bg3.wiki/wiki/Special:FilePath/Helmet_of_Smiting_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Helmet_of_Smiting_Faded.webp,assets/equipment/helmet-smiting.webp,https://bg3.wiki/wiki/Special:FilePath/Helmet_of_Smiting_Unfaded_Icon.png
circlet-blasting,爆裂头环,Circlet of Blasting,assets/hd/equipment/circlet-blasting.webp|png|jpg,https://bg3.wiki/wiki/Circlet_of_Blasting,https://bg3.wiki/wiki/Special:FilePath/Circlet_of_Blasting_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Circlet_of_Blasting_Faded.webp,assets/equipment/circlet-blasting.webp,https://bg3.wiki/wiki/Special:FilePath/Circlet_of_Blasting_Unfaded_Icon.png
grymskull-helm,格林骷髅头盔,Grymskull Helm,assets/hd/equipment/grymskull-helm.webp|png|jpg,https://bg3.wiki/wiki/Grymskull_Helm,https://bg3.wiki/wiki/Special:FilePath/Grymskull_Helm_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Grymskull_Helm_Faded.webp,assets/equipment/grymskull-helm.webp,https://bg3.wiki/wiki/Special:FilePath/Grymskull_Helm_Unfaded_Icon.png
deathstalker-mantle,死亡追猎者斗篷,The Deathstalker Mantle,assets/hd/equipment/deathstalker-mantle.webp|png|jpg,https://bg3.wiki/wiki/The_Deathstalker_Mantle,https://bg3.wiki/wiki/Special:FilePath/The_Deathstalker_Mantle_Faded.png,https://bg3.wiki/wiki/Special:FilePath/The_Deathstalker_Mantle_Faded.webp,assets/equipment/deathstalker-mantle.webp,https://bg3.wiki/wiki/Special:FilePath/The_Deathstalker_Mantle_Unfaded_Icon.png
graceful-cloth,优雅布衣,The Graceful Cloth,assets/hd/equipment/graceful-cloth.webp|png|jpg,https://bg3.wiki/wiki/The_Graceful_Cloth,https://bg3.wiki/wiki/Special:FilePath/The_Graceful_Cloth_Faded.png,https://bg3.wiki/wiki/Special:FilePath/The_Graceful_Cloth_Faded.webp,assets/equipment/graceful-cloth.webp,https://bg3.wiki/wiki/Special:FilePath/The_Graceful_Cloth_Unfaded_Icon.png
luminous-armour,光耀护甲,Luminous Armour,assets/hd/equipment/luminous-armour.webp|png|jpg,https://bg3.wiki/wiki/Luminous_Armour,https://bg3.wiki/wiki/Special:FilePath/Luminous_Armour_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Luminous_Armour_Faded.webp,assets/equipment/luminous-armour.webp,https://bg3.wiki/wiki/Special:FilePath/Luminous_Armour_Unfaded_Icon.png
adamantine-scale,精金鳞甲,Adamantine Scale Mail,assets/hd/equipment/adamantine-scale.webp|png|jpg,https://bg3.wiki/wiki/Adamantine_Scale_Mail,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Scale_Mail_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Scale_Mail_Faded.webp,assets/equipment/adamantine-scale.webp,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Scale_Mail_Unfaded_Icon.png
adamantine-splint,精金板条甲,Adamantine Splint Armour,assets/hd/equipment/adamantine-splint.webp|png|jpg,https://bg3.wiki/wiki/Adamantine_Splint_Armour,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Splint_Armour_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Splint_Armour_Faded.webp,assets/equipment/adamantine-splint.webp,https://bg3.wiki/wiki/Special:FilePath/Adamantine_Splint_Armour_Unfaded_Icon.png
protecty-sparkswall,保护火花之墙,The Protecty Sparkswall,assets/hd/equipment/protecty-sparkswall.webp|png|jpg,https://bg3.wiki/wiki/The_Protecty_Sparkswall,https://bg3.wiki/wiki/Special:FilePath/The_Protecty_Sparkswall_Faded.png,https://bg3.wiki/wiki/Special:FilePath/The_Protecty_Sparkswall_Faded.webp,assets/equipment/protecty-sparkswall.webp,https://bg3.wiki/wiki/Special:FilePath/The_Protecty_Sparkswall_Unfaded_Icon.png
spidersilk-armour,蛛丝护甲,Spidersilk Armour,assets/hd/equipment/spidersilk-armour.webp|png|jpg,https://bg3.wiki/wiki/Spidersilk_Armour,https://bg3.wiki/wiki/Special:FilePath/Spidersilk_Armour_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Spidersilk_Armour_Faded.webp,assets/equipment/spidersilk-armour.webp,https://bg3.wiki/wiki/Special:FilePath/Spidersilk_Armour_Unfaded_Icon.png
gloves-dexterity,敏捷手套,Gloves of Dexterity,assets/hd/equipment/gloves-dexterity.webp|png|jpg,https://bg3.wiki/wiki/Gloves_of_Dexterity,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Dexterity_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Dexterity_Faded.webp,assets/equipment/gloves-dexterity.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Dexterity_Unfaded_Icon.png
gloves-power,力量手套,Gloves of Power,assets/hd/equipment/gloves-power.webp|png|jpg,https://bg3.wiki/wiki/Gloves_of_Power,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Power_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Power_Faded.webp,assets/equipment/gloves-power.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Power_Unfaded_Icon.png
missile-snaring,飞弹拦截手套,Gloves of Missile Snaring,assets/hd/equipment/missile-snaring.webp|png|jpg,https://bg3.wiki/wiki/Gloves_of_Missile_Snaring,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Missile_Snaring_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Missile_Snaring_Faded.webp,assets/equipment/missile-snaring.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Missile_Snaring_Unfaded_Icon.png
sparkle-hands,火花之手,The Sparkle Hands,assets/hd/equipment/sparkle-hands.webp|png|jpg,https://bg3.wiki/wiki/The_Sparkle_Hands,https://bg3.wiki/wiki/Special:FilePath/The_Sparkle_Hands_Faded.png,https://bg3.wiki/wiki/Special:FilePath/The_Sparkle_Hands_Faded.webp,assets/equipment/sparkle-hands.webp,https://bg3.wiki/wiki/Special:FilePath/The_Sparkle_Hands_Unfaded_Icon.png
belligerent-skies,好战天空手套,Gloves of Belligerent Skies,assets/hd/equipment/belligerent-skies.webp|png|jpg,https://bg3.wiki/wiki/Gloves_of_Belligerent_Skies,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Belligerent_Skies_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Belligerent_Skies_Faded.webp,assets/equipment/belligerent-skies.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Belligerent_Skies_Unfaded_Icon.png
cinder-sizzle,余烬与嘶鸣手套,Gloves of Cinder and Sizzle,assets/hd/equipment/cinder-sizzle.webp|png|jpg,https://bg3.wiki/wiki/Gloves_of_Cinder_and_Sizzle,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Cinder_and_Sizzle_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Cinder_and_Sizzle_Faded.webp,assets/equipment/cinder-sizzle.webp,https://bg3.wiki/wiki/Special:FilePath/Gloves_of_Cinder_and_Sizzle_Unfaded_Icon.png
boots-speed,速度之靴,Boots of Speed,assets/hd/equipment/boots-speed.webp|png|jpg,https://bg3.wiki/wiki/Boots_of_Speed,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Speed_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Speed_Faded.webp,assets/equipment/boots-speed.webp,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Speed_Unfaded_Icon.png
night-walkers,瓦解夜行者,Disintegrating Night Walkers,assets/hd/equipment/night-walkers.webp|png|jpg,https://bg3.wiki/wiki/Disintegrating_Night_Walkers,https://bg3.wiki/wiki/Special:FilePath/Disintegrating_Night_Walkers_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Disintegrating_Night_Walkers_Faded.webp,assets/equipment/night-walkers.webp,https://bg3.wiki/wiki/Special:FilePath/Disintegrating_Night_Walkers_Unfaded_Icon.png
stormy-clamour,风暴喧嚣之靴,Boots of Stormy Clamour,assets/hd/equipment/stormy-clamour.webp|png|jpg,https://bg3.wiki/wiki/Boots_of_Stormy_Clamour,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Stormy_Clamour_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Stormy_Clamour_Faded.webp,assets/equipment/stormy-clamour.webp,https://bg3.wiki/wiki/Special:FilePath/Boots_of_Stormy_Clamour_Unfaded_Icon.png
watersparkers,水花行者,The Watersparkers,assets/hd/equipment/watersparkers.webp|png|jpg,https://bg3.wiki/wiki/The_Watersparkers,https://bg3.wiki/wiki/Special:FilePath/The_Watersparkers_Faded.png,https://bg3.wiki/wiki/Special:FilePath/The_Watersparkers_Faded.webp,assets/equipment/watersparkers.webp,https://bg3.wiki/wiki/Special:FilePath/The_Watersparkers_Unfaded_Icon.png
amulet-misty-step,迷踪步护符,Amulet of Misty Step,assets/hd/equipment/amulet-misty-step.webp|png|jpg,https://bg3.wiki/wiki/Amulet_of_Misty_Step,https://bg3.wiki/wiki/Special:FilePath/Amulet_of_Misty_Step_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Amulet_of_Misty_Step_Faded.webp,assets/equipment/amulet-misty-step.webp,https://bg3.wiki/wiki/Special:FilePath/Amulet_of_Misty_Step_Unfaded_Icon.png
psychic-spark,心灵火花,Psychic Spark,assets/hd/equipment/psychic-spark.webp|png|jpg,https://bg3.wiki/wiki/Psychic_Spark,https://bg3.wiki/wiki/Special:FilePath/Psychic_Spark_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Psychic_Spark_Faded.webp,assets/equipment/psychic-spark.webp,https://bg3.wiki/wiki/Special:FilePath/Psychic_Spark_Unfaded_Icon.png
periapt-wound,伤口闭合护符,Periapt of Wound Closure,assets/hd/equipment/periapt-wound.webp|png|jpg,https://bg3.wiki/wiki/Periapt_of_Wound_Closure,https://bg3.wiki/wiki/Special:FilePath/Periapt_of_Wound_Closure_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Periapt_of_Wound_Closure_Faded.webp,assets/equipment/periapt-wound.webp,https://bg3.wiki/wiki/Special:FilePath/Periapt_of_Wound_Closure_Unfaded_Icon.png
broodmothers-revenge,育母复仇,Broodmother's Revenge,assets/hd/equipment/broodmothers-revenge.webp|png|jpg,https://bg3.wiki/wiki/Broodmother's_Revenge,https://bg3.wiki/wiki/Special:FilePath/Broodmother's_Revenge_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Broodmother's_Revenge_Faded.webp,assets/equipment/broodmothers-revenge.webp,https://bg3.wiki/wiki/Special:FilePath/Broodmother's_Revenge_Unfaded_Icon.png
ring-protection,防护戒指,Ring of Protection,assets/hd/equipment/ring-protection.webp|png|jpg,https://bg3.wiki/wiki/Ring_of_Protection,https://bg3.wiki/wiki/Special:FilePath/Ring_of_Protection_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Ring_of_Protection_Faded.webp,assets/equipment/ring-protection.webp,https://bg3.wiki/wiki/Special:FilePath/Ring_of_Protection_Unfaded_Icon.png
caustic-band,腐蚀戒指,Caustic Band,assets/hd/equipment/caustic-band.webp|png|jpg,https://bg3.wiki/wiki/Caustic_Band,https://bg3.wiki/wiki/Special:FilePath/Caustic_Band_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Caustic_Band_Faded.webp,assets/equipment/caustic-band.webp,https://bg3.wiki/wiki/Special:FilePath/Caustic_Band_Unfaded_Icon.png
crusher-ring,粉碎者之戒,Crusher's Ring,assets/hd/equipment/crusher-ring.webp|png|jpg,https://bg3.wiki/wiki/Crusher's_Ring,https://bg3.wiki/wiki/Special:FilePath/Crusher's_Ring_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Crusher's_Ring_Faded.webp,assets/equipment/crusher-ring.webp,https://bg3.wiki/wiki/Special:FilePath/Crusher's_Ring_Unfaded_Icon.png
strange-conduit,奇异导管戒指,Strange Conduit Ring,assets/hd/equipment/strange-conduit.webp|png|jpg,https://bg3.wiki/wiki/Strange_Conduit_Ring,https://bg3.wiki/wiki/Special:FilePath/Strange_Conduit_Ring_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Strange_Conduit_Ring_Faded.webp,assets/equipment/strange-conduit.webp,https://bg3.wiki/wiki/Special:FilePath/Strange_Conduit_Ring_Unfaded_Icon.png
whispering-promise,低语承诺,The Whispering Promise,assets/hd/equipment/whispering-promise.webp|png|jpg,https://bg3.wiki/wiki/The_Whispering_Promise,https://bg3.wiki/wiki/Special:FilePath/The_Whispering_Promise_Faded.png,https://bg3.wiki/wiki/Special:FilePath/The_Whispering_Promise_Faded.webp,assets/equipment/whispering-promise.webp,https://bg3.wiki/wiki/Special:FilePath/The_Whispering_Promise_Unfaded_Icon.png
phalar-aluve,法拉·阿鲁维,Phalar Aluve,assets/hd/equipment/phalar-aluve.webp|png|jpg,https://bg3.wiki/wiki/Phalar_Aluve,https://bg3.wiki/wiki/Special:FilePath/Phalar_Aluve_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Phalar_Aluve_Faded.webp,assets/equipment/phalar-aluve.webp,https://bg3.wiki/wiki/Special:FilePath/Phalar_Aluve_Unfaded_Icon.png
undermountain-king,山丘巨王短刀,Knife of the Undermountain King,assets/hd/equipment/undermountain-king.webp|png|jpg,https://bg3.wiki/wiki/Knife_of_the_Undermountain_King,https://bg3.wiki/wiki/Special:FilePath/Knife_of_the_Undermountain_King_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Knife_of_the_Undermountain_King_Faded.webp,assets/equipment/undermountain-king.webp,https://bg3.wiki/wiki/Special:FilePath/Knife_of_the_Undermountain_King_Unfaded_Icon.png
blood-lathander,洛山达之血,The Blood of Lathander,assets/hd/equipment/blood-lathander.webp|png|jpg,https://bg3.wiki/wiki/The_Blood_of_Lathander,https://bg3.wiki/wiki/Special:FilePath/The_Blood_of_Lathander_Faded.png,https://bg3.wiki/wiki/Special:FilePath/The_Blood_of_Lathander_Faded.webp,assets/equipment/blood-lathander.webp,https://bg3.wiki/wiki/Special:FilePath/The_Blood_of_Lathander_Unfaded_Icon.png
returning-pike,回归长矛,Returning Pike,assets/hd/equipment/returning-pike.webp|png|jpg,https://bg3.wiki/wiki/Returning_Pike,https://bg3.wiki/wiki/Special:FilePath/Returning_Pike_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Returning_Pike_Faded.webp,assets/equipment/returning-pike.webp,https://bg3.wiki/wiki/Special:FilePath/Returning_Pike_Unfaded_Icon.png
unseen-menace,隐形威胁,Unseen Menace,assets/hd/equipment/unseen-menace.webp|png|jpg,https://bg3.wiki/wiki/Unseen_Menace,https://bg3.wiki/wiki/Special:FilePath/Unseen_Menace_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Unseen_Menace_Faded.webp,assets/equipment/unseen-menace.webp,https://bg3.wiki/wiki/Special:FilePath/Unseen_Menace_Unfaded_Icon.png
cacophony,杂音,Cacophony,assets/hd/equipment/cacophony.webp|png|jpg,https://bg3.wiki/wiki/Cacophony,https://bg3.wiki/wiki/Special:FilePath/Cacophony_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Cacophony_Faded.webp,assets/equipment/cacophony.webp,https://bg3.wiki/wiki/Special:FilePath/Cacophony_Unfaded_Icon.png
club-hill-giant,山丘巨人力量短棒,Club of Hill Giant Strength,assets/hd/equipment/club-hill-giant.webp|png|jpg,https://bg3.wiki/wiki/Club_of_Hill_Giant_Strength,https://bg3.wiki/wiki/Special:FilePath/Club_of_Hill_Giant_Strength_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Club_of_Hill_Giant_Strength_Faded.webp,assets/equipment/club-hill-giant.webp,https://bg3.wiki/wiki/Special:FilePath/Club_of_Hill_Giant_Strength_Unfaded_Icon.png
spellsparkler,法术火花,The Spellsparkler,assets/hd/equipment/spellsparkler.webp|png|jpg,https://bg3.wiki/wiki/The_Spellsparkler,https://bg3.wiki/wiki/Special:FilePath/The_Spellsparkler_Faded.png,https://bg3.wiki/wiki/Special:FilePath/The_Spellsparkler_Faded.webp,assets/equipment/spellsparkler.webp,https://bg3.wiki/wiki/Special:FilePath/The_Spellsparkler_Unfaded_Icon.png
mourning-frost,悼霜,Mourning Frost,assets/hd/equipment/mourning-frost.webp|png|jpg,https://bg3.wiki/wiki/Mourning_Frost,https://bg3.wiki/wiki/Special:FilePath/Mourning_Frost_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Mourning_Frost_Faded.webp,assets/equipment/mourning-frost.webp,https://bg3.wiki/wiki/Special:FilePath/Mourning_Frost_Unfaded_Icon.png
staff-arcane-blessing,奥术祝福法杖,Staff of Arcane Blessing,assets/hd/equipment/staff-arcane-blessing.webp|png|jpg,https://bg3.wiki/wiki/Staff_of_Arcane_Blessing,https://bg3.wiki/wiki/Special:FilePath/Staff_of_Arcane_Blessing_Faded.png,https://bg3.wiki/wiki/Special:FilePath/Staff_of_Arcane_Blessing_Faded.webp,assets/equipment/staff-arcane-blessing.webp,https://bg3.wiki/wiki/Special:FilePath/Staff_of_Arcane_Blessing_Unfaded_Icon.png
